config_hash,rep,label,options_json,n_problems,n_solved,reliability,cum_cpu_time,n_rewritten,status_counts_json
fd9aad096a06,0,preset-filtersqp,"{""preset"": ""filtersqp""}",123,120,0.975610,1.2905,0,"{""solved"": 120, ""unsolved"": 3}"
f8d7090416ba,0,preset-ipopt,"{""preset"": ""ipopt""}",123,121,0.983740,2.3512,0,"{""solved"": 121, ""unsolved"": 2}"
f84e7852c741,0,exotic-LBFGS-funnel-LS,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""LBFGS"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",123,115,0.934959,5.7839,11,"{""solved"": 115, ""unsolved"": 8}"
478ce0be3325,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",123,120,0.975610,1.3322,11,"{""solved"": 120, ""unsolved"": 3}"
bbe3df80208a,0,baseline-ipopt,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal_dual""}",123,114,0.926829,5.0646,11,"{""solved"": 114, ""unsolved"": 9}"
fd9aad096a06,1,var-preset-filtersqp,"{""preset"": ""filtersqp""}",123,120,0.975610,1.3593,0,"{""solved"": 120, ""unsolved"": 3}"
fd9aad096a06,2,var-preset-filtersqp,"{""preset"": ""filtersqp""}",123,120,0.975610,1.4606,0,"{""solved"": 120, ""unsolved"": 3}"
fd9aad096a06,3,var-preset-filtersqp,"{""preset"": ""filtersqp""}",123,120,0.975610,1.6609,0,"{""solved"": 120, ""unsolved"": 3}"
fd9aad096a06,4,var-preset-filtersqp,"{""preset"": ""filtersqp""}",123,120,0.975610,1.4411,0,"{""solved"": 120, ""unsolved"": 3}"
fd9aad096a06,5,var-preset-filtersqp,"{""preset"": ""filtersqp""}",123,120,0.975610,1.5811,0,"{""solved"": 120, ""unsolved"": 3}"
fd9aad096a06,6,var-preset-filtersqp,"{""preset"": ""filtersqp""}",123,120,0.975610,1.4373,0,"{""solved"": 120, ""unsolved"": 3}"
