number,name,classification,N,M,Nnl,Mnl,Nz,Fbest_raw,Fbest,feasible,in_uno_429_subset,mod_file_available,gms_file_available,dag_file_available,res_file_available,nl_file_available,nl_conversion_status,other_files,detail_page
2001,3pk,SUR2-MN,30,0,30,0,30,1.7201000,1.7201,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/3pk.htm
2002,aircrfta,NOR2-RN,8,5,5,5,23,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/aircrfta.htm
2003,aircrftb,SXR2-RN,18,13,5,0,5,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/aircrftb.htm
2004,airport,SQR2-MN,84,42,84,42,168,47952.6996000,47952.6996,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/airport.htm
2005,aljazzaf,QQR2-AN,3,1,3,1,6,75.0049000,75.0049,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/aljazzaf.htm
2006,allinit,OBR2-AY,4,3,3,0,3,16.7060000,16.706,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/allinit.htm
2007,allinitc,OOR2-AY,4,4,3,1,5,30.4748000,30.4748,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/allinitc.htm
2008,allinitu,OUR2-AY,4,0,4,0,4,5.7444000,5.7444,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/allinitu.htm
2009,alsotame,OOR2-AN,2,3,2,1,4,0.0821000,0.0821,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/alsotame.htm
2010,argauss,NOR2-AN,3,15,3,15,45,(0.0000000),0.0,False,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/argauss.htm
2011,arglina,SUR2-AN,100,0,100,0,100,100.0000000,100.0,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/arglina.htm
2012,arglinb,SUR2-AN,10,0,10,0,10,4.6341000,4.6341,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/arglinb.htm
2013,arglinc,SUR2-AN,10,0,8,0,8,6.1351000,6.1351,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/arglinc.htm
2014,argtrig,NOR2-AN,100,100,100,100,10000,0.0000000,0.0,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/argtrig.htm
2015,artif,NOR2-AN,5002,5000,4950,4950,14998,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/artif.htm
2016,arwhead,OUR2-AN,5000,0,5000,0,5000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/arwhead.htm
2017,aug2d,QLR2-AN,20400,9996,19800,0,59784,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/aug2d.htm
2018,aug2dc,QLR2-AN,20400,10194,20200,0,60184,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/aug2dc.htm
2019,aug2dcqp,QLR2-AN,20400,10194,20200,0,60184,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/aug2dcqp.htm
2020,aug2dqp,QLR2-AN,20400,10194,19800,0,59784,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/aug2dqp.htm
2021,aug3d,QLR2-AN,3873,1000,2673,0,9219,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/aug3d.htm
2022,aug3dc,QLR2-AN,3873,1000,3873,0,10419,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/aug3dc.htm
2023,aug3dcqp,QLR2-AN,3873,1000,3873,0,10419,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/aug3dcqp.htm
2024,aug3dqp,QLR2-AN,3873,1000,2673,0,9219,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/aug3dqp.htm
2025,avgasa,QLR2-AN,8,10,6,0,23,-4.4122000,-4.4122,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/avgasa.htm
2026,avgasb,QLR2-AN,8,10,6,0,23,-4.4832000,-4.4832,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/avgasb.htm
2027,avion2,OLR2-RN,49,15,37,0,80,94680129.5796000,94680129.5796,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/avion2.htm
2028,bard,SUR2-AN,3,0,3,0,3,0.0082000,0.0082,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bard.htm
2029,batch,OOR2-AN,46,73,22,1,182,259177.9452000,259177.9452,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/batch.htm
2030,bdexp,OBR2-AY,5000,0,5000,0,5000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bdexp.htm
2031,bdqrtic,SUR2-AN,1000,0,1000,0,1000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bdqrtic.htm
2032,bdvalue,NOR2-MN,5002,5000,5000,5000,14998,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bdvalue.htm
2033,beale,SUR2-AN,2,0,2,0,2,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/beale.htm
2034,bigbank,ONI2-RN,2230,1112,1366,0,4912,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bigbank.htm
2035,biggs3,SXR2-AN,6,3,3,0,3,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/biggs3.htm
2036,biggs5,SXR2-AN,6,1,5,0,5,0.0056000,0.0056,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/biggs5.htm
2037,biggs6,SUR2-AN,6,0,6,0,6,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/biggs6.htm
2038,biggsb1,QBR2-AN,1000,999,1000,0,1000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/biggsb1.htm
2039,biggsc4,QLR2-AN,4,7,4,0,20,-24.5000000,-24.5,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/biggsc4.htm
2040,blockqp1,QLR2-AN,2005,1001,2005,0,11010,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/blockqp1.htm
2041,blockqp2,QLR2-AN,2005,1001,2005,0,11010,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/blockqp2.htm
2042,blockqp3,QLR2-AN,2005,1001,2005,0,11010,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/blockqp3.htm
2043,blockqp4,QLR2-AN,2005,1001,2005,0,11010,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/blockqp4.htm
2044,blockqp5,QLR2-AN,2005,1001,2005,0,11010,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/blockqp5.htm
2045,bloweya,QLR2-MN,2002,1002,2002,0,7005,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bloweya.htm
2046,bloweyb,QLR2-MN,2002,1002,2002,0,7005,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bloweyb.htm
2047,bloweyc,QLR2-MN,2002,1002,2002,0,7005,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bloweyc.htm
2048,booth,NLR2-AN,2,2,0,0,4,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/booth.htm
2049,box2,SXR2-AN,3,1,2,0,2,0.1504000,0.1504,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/box2.htm
2050,box3,SUR2-AN,3,0,3,0,3,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/box3.htm
2051,bqp1var,QBR2-AN,1,1,1,0,1,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bqp1var.htm
2052,bqpgabim,QBR2-AN,2600,2554,46,0,46,,,,True,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bqpgabim.htm
2053,bqpgasim,QBR2-AN,2600,2550,50,0,50,,,,True,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bqpgasim.htm
2054,brainpc0,SOR2-MY,6907,6900,6904,6898,41448,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/brainpc0.htm
2055,brainpc1,SOR2-MY,6907,6900,6904,6898,41448,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/brainpc1.htm
2056,brainpc2,SOR2-MY,13807,13800,13804,13798,82848,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/brainpc2.htm
2057,brainpc3,SOR2-MY,6907,6900,6904,6898,41448,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/brainpc3.htm
2058,brainpc4,SOR2-MY,6907,6900,6904,6898,41448,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/brainpc4.htm
2059,brainpc5,SOR2-MY,6907,6900,6904,6898,41448,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/brainpc5.htm
2060,brainpc6,SOR2-MY,6907,6900,6904,6898,41448,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/brainpc6.htm
2061,brainpc7,SOR2-MY,6907,6900,6904,6898,41448,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/brainpc7.htm
2062,brainpc8,SOR2-MY,6907,6900,6904,6898,41448,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/brainpc8.htm
2063,brainpc9,SOR2-MY,6907,6900,6904,6898,41448,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/brainpc9.htm
2064,bratu1d,OXR2-MN,1003,0,1001,0,1001,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bratu1d.htm
2065,bratu2d,NOR2-MN,5184,4900,4900,4900,24220,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bratu2d.htm
2066,bratu2dt,NOR2-MN,5184,4900,4900,4900,24220,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bratu2dt.htm
2067,bratu3d,NOR2-MN,4913,3375,3375,3375,22275,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bratu3d.htm
2068,britgas,OOI2-RN,450,360,407,360,1624,0.0000000,0.0,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/britgas.htm
2069,brkmcc,OUR2-AN,2,0,2,0,2,0.1690000,0.169,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/brkmcc.htm
2070,brownal,SUR2-AN,10,0,10,0,10,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/brownal.htm
2071,brownbs,SUR2-AN,2,0,2,0,2,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/brownbs.htm
2072,brownden,SUR2-AN,4,0,4,0,4,85822.2000000,85822.2,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/brownden.htm
2073,broydn3d,NOR2-AN,10000,10000,10000,10000,29998,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/broydn3d.htm
2074,broydn7d,OUR2-AN,1000,0,1000,0,1000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/broydn7d.htm
2075,broydnbd,NOR2-AN,5000,5000,5000,5000,34984,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/broydnbd.htm
2076,brybnd,SUR2-AN,5000,0,5000,0,5000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/brybnd.htm
2077,bt1,QQR2-AN,2,1,2,1,4,-1.0001000,-1.0001,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bt1.htm
2078,bt10,LOR2-AN,2,2,1,2,5,-1.0000000,-1.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bt10.htm
2079,bt11,OOR2-AY,5,3,5,2,13,0.8249000,0.8249,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bt11.htm
2080,bt12,QQR2-AN,5,3,5,3,10,6.1881000,6.1881,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bt12.htm
2081,bt13,LQR2-AY,5,2,5,1,6,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bt13.htm
2082,bt2,QQR2-AY,3,1,3,1,6,0.0326000,0.0326,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bt2.htm
2083,bt3,SLR2-AY,5,3,5,0,12,4.0930000,4.093,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bt3.htm
2084,bt4,QQR2-AN,3,2,3,1,8,-45.5106000,-45.5106,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bt4.htm
2085,bt5,QQR2-AN,3,2,3,1,9,-1047.8580000,-1047.858,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bt5.htm
2086,bt6,OOR2-AY,5,2,5,2,10,0.2770000,0.277,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bt6.htm
2087,bt7,OQR2-AN,5,3,5,3,10,306.4975000,306.4975,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bt7.htm
2088,bt8,QQR2-AN,5,2,5,2,9,1.0000000,1.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bt8.htm
