preset,config_hash,label,options_json,n_problems,n_solved,reliability,cum_cpu_time,combined_score,status_counts_json
filtersqp,478ce0be3325,baseline-filtersqp,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",727,578,0.795048,3463.3932,0.795048,"{""solved"": 578, ""unsolved"": 39, ""timeout"": 107, ""crash"": 3}"
ipopt,bbe3df80208a,baseline-ipopt,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal_dual""}",727,510,0.701513,1091.8532,0.701513,"{""solved"": 510, ""unsolved"": 142, ""timeout"": 75}"
funnelsqp,4aa64c954a5f,baseline-funnelsqp,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",727,575,0.790922,3541.0336,0.790922,"{""solved"": 575, ""unsolved"": 37, ""timeout"": 111, ""crash"": 4}"
filterslp,fc180089f96a,baseline-filterslp,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""zero"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",727,358,0.492435,2795.0769,0.492435,"{""unsolved"": 257, ""solved"": 358, ""timeout"": 106, ""crash"": 6}"
custom,77159ce568fb,ga,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""merit_function"", ""hessian_model"": ""zero"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",727,326,0.448418,2767.0540,0.448418,"{""unsolved"": 292, ""solved"": 326, ""timeout"": 103, ""crash"": 6}"
custom,01366e6e43a2,ga,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""merit_function"", ""hessian_model"": ""LBFGS"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""none""}",727,159,0.218707,4453.5238,0.218707,"{""unsolved"": 388, ""solved"": 159, ""timeout"": 179, ""crash"": 1}"
custom,388d87f2e4e7,ga,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""LSR1"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal""}",727,183,0.251719,1524.2310,0.251719,"{""unsolved"": 418, ""solved"": 183, ""timeout"": 126}"
custom,f447b182882c,ga,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""identity"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""none""}",727,264,0.363136,1918.0587,0.363136,"{""unsolved"": 371, ""solved"": 264, ""timeout"": 92}"
custom,9b22c8c8ad68,ga,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""LBFGS"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal_dual""}",727,437,0.601100,3665.7161,0.601100,"{""unsolved"": 117, ""solved"": 437, ""timeout"": 173}"
custom,d269762ccd48,ga,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""none""}",727,222,0.305365,5899.4476,0.305365,"{""unsolved"": 297, ""solved"": 222, ""timeout"": 204, ""crash"": 4}"
