preset,timestamp,generation,config_json,valid,reliability,cum_cpu_time,combined_score,n_solved,status_counts_json
filtersqp,1784152634.569,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",1,0.795048,3463.3932,0.795048,578,"{""solved"": 578, ""unsolved"": 39, ""timeout"": 107, ""crash"": 3}"
ipopt,1784152779.450,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal_dual""}",1,0.701513,1091.8532,0.701513,510,"{""solved"": 510, ""unsolved"": 142, ""timeout"": 75}"
funnelsqp,1784153240.818,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",1,0.790922,3541.0336,0.790922,575,"{""solved"": 575, ""unsolved"": 37, ""timeout"": 111, ""crash"": 4}"
filterslp,1784153598.814,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""zero"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",1,0.492435,2795.0769,0.492435,358,"{""unsolved"": 257, ""solved"": 358, ""timeout"": 106, ""crash"": 6}"
custom,1784153952.805,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""merit_function"", ""hessian_model"": ""zero"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",1,0.448418,2767.0540,0.448418,326,"{""unsolved"": 292, ""solved"": 326, ""timeout"": 103, ""crash"": 6}"
custom,1784154523.784,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""merit_function"", ""hessian_model"": ""LBFGS"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""none""}",1,0.218707,4453.5238,0.218707,159,"{""unsolved"": 388, ""solved"": 159, ""timeout"": 179, ""crash"": 1}"
custom,1784154728.529,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""LSR1"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal""}",1,0.251719,1524.2310,0.251719,183,"{""unsolved"": 418, ""solved"": 183, ""timeout"": 126}"
custom,1784154979.153,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""identity"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""none""}",1,0.363136,1918.0587,0.363136,264,"{""unsolved"": 371, ""solved"": 264, ""timeout"": 92}"
custom,1784155451.676,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""LBFGS"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal_dual""}",1,0.601100,3665.7161,0.601100,437,"{""unsolved"": 117, ""solved"": 437, ""timeout"": 173}"
custom,1784156201.451,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""none""}",1,0.305365,5899.4476,0.305365,222,"{""unsolved"": 297, ""solved"": 222, ""timeout"": 204, ""crash"": 4}"
