$ /home/sdinh/sandbox/OptiUNO/external/uno/bin/uno_ampl /home/sdinh/sandbox/OptiUNO/problems/HS_model/hs043.nl constraint_relaxation_strategy=feasibility_restoration inequality_handling_method=interior_point hessian_model=exact inertia_correction_strategy=none globalization_mechanism=TR globalization_strategy=fletcher_filter_method time_limit=20.0

Automatically picked the filtersqp preset
Original model /home/sdinh/sandbox/OptiUNO/problems/HS_model/hs043.nl
4 variables, 3 constraints (0 equality, 3 inequality)
Problem type: NLP
Reformulated model /home/sdinh/sandbox/OptiUNO/problems/HS_model/hs043.nl -> no fixed bounds -> equality constrained -> bounds relaxed
7 variables, 3 constraints (3 equality, 0 inequality)

Non-default options:
QP_solver = BQPD

──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Iterations
 Major  Minor  Penalty   Barrier   Barrier   Radius    Phase ||Step||  Objective  Infeas    Statio    Compl     Status        
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 0      -      -         -         -         1.00e+01  OPT   -         0.000e+00  0.00e+00  2.33e+01  1.37e+01  initial point 
 1      1      -         1.00e-01  -         1.00e+01  OPT   6.22e+00  -7.796e+01 1.50e+02  -         -         ✘ (filter)    
 -      2      -         1.00e-01  -         3.11e+00  OPT   3.11e+00  -6.618e+01 8.49e+01  2.48e+01  1.73e-11  ✔ (f-type)    
 2      1      -         1.00e-01  -         6.22e+00  OPT   6.22e+00  -5.515e+01 1.80e+01  3.40e+00  1.00e-11  ✔ (h-type)    
 3      1      -         1.00e-01  -         1.24e+01  OPT   1.24e+01  -1.527e+01 1.28e+02  -         -         ✘ (filter)    
 -      2      -         1.00e-01  -         6.22e+00  OPT   6.22e+00  -3.907e+01 3.85e+01  -nan      1.41e-11  ✔ (h-type)    
 4      1      -         1.00e-01  -         1.24e+01  OPT   1.24e+01  3.352e+01  6.40e+02  -         -         ✘ (filter)    
 -      2      -         1.00e-01  -         6.22e+00  OPT   6.22e+00  -4.784e+01 1.71e+02  -         -         ✘ (filter)    
 -      3      -         1.00e-01  -         3.11e+00  OPT   3.11e+00  -5.858e+01 5.53e+01  -nan      1.00e-11  ✔ (h-type)    
 5      1      -         1.00e-01  -         6.22e+00  OPT   6.22e+00  -2.040e+00 1.99e+02  -         -         ✘ (filter)    
 -      2      -         1.00e-01  -         3.11e+00  OPT   3.11e+00  -3.532e+01 7.10e+01  -nan      1.00e-11  ✔ (h-type)    
 6      1      -         1.00e-01  -         6.22e+00  OPT   6.22e+00  2.022e+02  2.49e+02  -         -         ✘ (filter)    
 -      2      -         1.00e-01  -         3.11e+00  OPT   3.11e+00  5.176e+01  7.05e+01  -nan      1.00e-11  ✔ (h-type)    
 7      1      -         1.00e-01  -         6.22e+00  OPT   6.22e+00  -6.348e+01 1.22e+02  -         -         ✘ (filter)    
 -      2      -         1.00e-01  -         3.11e+00  OPT   3.11e+00  3.693e+01  4.15e+01  -nan      1.41e-11  ✔ (h-type)    
 8      1      -         1.00e-01  -         6.22e+00  OPT   6.22e+00  5.239e+01  2.72e+01  -nan      1.41e-11  ✔ (h-type)    
 9      1      -         1.00e-01  -         1.24e+01  OPT   1.24e+01  5.795e+01  4.30e+01  -nan      1.00e-11  ✔ (h-type)    
 10     1      -         1.00e-01  -         2.49e+01  OPT   2.49e+01  8.170e+02  1.88e+03  -         -         ✘ (filter)    
 -      2      -         1.00e-01  -         1.24e+01  OPT   1.24e+01  6.674e+01  4.88e+02  -         -         ✘ (filter)    
 -      3      -         1.00e-01  -         6.22e+00  OPT   6.22e+00  -3.223e+00 1.34e+02  -         -         ✘ (filter)    
 -      4      -         1.00e-01  -         3.11e+00  OPT   3.11e+00  -8.953e+00 4.52e+01  -nan      1.00e-11  ✔ (h-type)    
 11     1      -         1.00e-01  -         6.22e+00  OPT   6.22e+00  1.447e+02  8.56e+01  -         -         ✘ (filter)    
 -      2      -         1.00e-01  -         3.11e+00  OPT   3.11e+00  6.462e+01  3.26e+01  -nan      1.00e-11  ✔ (h-type)    
 12     1      -         1.00e-01  -         6.22e+00  OPT   6.22e+00  -1.448e+01 3.26e+01  -nan      1.41e-11  ✔ (h-type)    
