$ /home/sdinh/sandbox/OptiUNO/external/uno/bin/uno_ampl /home/sdinh/sandbox/OptiUNO/problems/HS_model/hs21mod.nl constraint_relaxation_strategy=feasibility_restoration inequality_handling_method=interior_point hessian_model=exact inertia_correction_strategy=none globalization_mechanism=TR globalization_strategy=fletcher_filter_method time_limit=20.0

Automatically picked the filtersqp preset
Original model /home/sdinh/sandbox/OptiUNO/problems/HS_model/hs21mod.nl
7 variables, 7 constraints (0 equality, 7 inequality)
Problem type: NLP
Reformulated model /home/sdinh/sandbox/OptiUNO/problems/HS_model/hs21mod.nl -> no fixed bounds -> equality constrained -> bounds relaxed
14 variables, 7 constraints (7 equality, 0 inequality)

Non-default options:
QP_solver = BQPD

──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Iterations
 Major  Minor  Penalty   Barrier   Barrier   Radius    Phase ||Step||  Objective  Infeas    Statio    Compl     Status        
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 0      -      -         -         -         1.00e+01  OPT   -         -9.899e+01 2.42e+01  3.00e+00  7.00e+01  initial point 
 1      1      -         1.00e-01  -         1.00e+01  OPT   3.07e+00  -9.155e+01 7.31e-01  4.30e+01  2.65e-11  ✔ (h-type)    
 2      1      -         1.00e-01  -         1.00e+01  OPT   1.00e+01  4.639e+01  3.55e-15  -nan      2.65e-11  ✔ (h-type)    
 3      1      -         1.00e-01  -         2.00e+01  OPT   2.00e+01  3.898e+02  1.20e+01  nan       2.24e-11  ✔ (h-type)    
 4      1      -         1.00e-01  -         4.00e+01  OPT   4.00e+01  1.922e+03  3.99e+01  -         -         ✘ (filter)    
 -      2      -         1.00e-01  -         2.00e+01  OPT   2.00e+01  7.261e+02  2.19e+01  nan       2.00e-11  ✔ (h-type)    
 5      1      -         1.00e-01  -         4.00e+01  OPT   4.00e+01  2.090e+03  2.00e+00  nan       2.24e-11  ✔ (h-type)    
 6      1      -         1.00e-01  -         8.00e+01  OPT   8.00e+01  8.490e+03  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 7      1      -         1.00e-01  -         1.60e+02  OPT   1.60e+02  4.753e+04  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 8      1      -         1.00e-01  -         3.20e+02  OPT   3.20e+02  2.011e+05  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 9      1      -         1.00e-01  -         6.40e+02  OPT   6.40e+02  8.693e+05  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 10     1      -         1.00e-01  -         1.28e+03  OPT   1.28e+03  3.532e+06  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 11     1      -         1.00e-01  -         2.56e+03  OPT   2.56e+03  1.440e+07  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 12     1      -         1.00e-01  -         5.12e+03  OPT   5.12e+03  5.781e+07  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 13     1      -         1.00e-01  -         1.02e+04  OPT   1.02e+04  2.323e+08  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 14     1      -         1.00e-01  -         2.05e+04  OPT   2.05e+04  9.303e+08  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 15     1      -         1.00e-01  -         4.10e+04  OPT   4.10e+04  3.726e+09  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 16     1      -         1.00e-01  -         8.19e+04  OPT   8.19e+04  1.491e+10  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 17     1      -         1.00e-01  -         1.64e+05  OPT   1.64e+05  5.964e+10  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 18     1      -         1.00e-01  -         3.28e+05  OPT   3.28e+05  2.386e+11  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 19     1      -         1.00e-01  -         6.55e+05  OPT   6.55e+05  9.544e+11  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 20     1      -         1.00e-01  -         1.31e+06  OPT   1.31e+06  3.818e+12  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 21     1      -         1.00e-01  -         2.62e+06  OPT   2.62e+06  1.527e+13  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 22     1      -         1.00e-01  -         5.24e+06  OPT   5.24e+06  6.108e+13  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 23     1      -         1.00e-01  -         1.05e+07  OPT   1.05e+07  2.443e+14  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 24     1      -         1.00e-01  -         2.10e+07  OPT   2.10e+07  9.773e+14  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 25     1      -         1.00e-01  -         4.19e+07  OPT   4.19e+07  3.909e+15  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 26     1      -         1.00e-01  -         8.39e+07  OPT   8.39e+07  1.564e+16  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 27     1      -         1.00e-01  -         1.68e+08  OPT   1.68e+08  6.255e+16  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 28     1      -         1.00e-01  -         3.36e+08  OPT   3.36e+08  2.502e+17  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 29     1      -         1.00e-01  -         6.71e+08  OPT   6.71e+08  1.001e+18  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 30     1      -         1.00e-01  -         1.34e+09  OPT   1.34e+09  4.003e+18  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 31     1      -         1.00e-01  -         2.68e+09  OPT   2.68e+09  1.601e+19  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 32     1      -         1.00e-01  -         5.37e+09  OPT   5.37e+09  6.405e+19  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 33     1      -         1.00e-01  -         1.07e+10  OPT   1.07e+10  2.562e+20  2.00e+00  nan       2.45e-11  ✔ (h-type)    
