$ /home/sdinh/sandbox/OptiUNO/quickRun/external/uno/bin/uno_ampl /home/sdinh/sandbox/OptiUNO/quickRun/models/nl/hs085.nl constraint_relaxation_strategy=feasibility_restoration inequality_handling_method=interior_point hessian_model=exact inertia_correction_strategy=primal_dual globalization_mechanism=LS globalization_strategy=waechter_filter_method time_limit=20.0

Automatically picked the filtersqp preset
Original model /home/sdinh/sandbox/OptiUNO/quickRun/models/nl/hs085.nl
5 variables, 48 constraints (0 equality, 48 inequality)
Problem type: NLP
Reformulated model /home/sdinh/sandbox/OptiUNO/quickRun/models/nl/hs085.nl -> no fixed bounds -> equality constrained -> bounds relaxed
53 variables, 48 constraints (48 equality, 0 inequality)

Non-default options:
linear_solver = MUMPS
libhsl_path = 

───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Iterations
 Major  Minor  Penalty   Barrier   Barrier   Steplength Phase Regulariz Regulariz ||Step||  Objective  Infeas    Statio    Compl     Status        
───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 0      -      -         -         -         -          OPT   -         -         -         -9.394e-01 5.94e+05  6.93e+00  8.74e+06  initial point 
 1      1      -         1.00e-01  -         1.00e+00   OPT   0.00e+00  -         5.82e+05  -1.067e+00 5.25e+05  1.72e+01  8.70e+06  ✔ (h-type)    
 2      1      -         1.00e-01  -         1.00e+00   OPT   0.00e+00  -         5.15e+05  -1.081e+00 5.17e+05  1.77e+01  7.71e+06  ✔ (h-type)    
 3      1      -         1.00e-01  -         1.00e+00   OPT   0.00e+00  -         5.07e+05  -1.275e+00 4.07e+05  1.31e+01  6.61e+06  ✔ (h-type)    
 4      1      -         1.00e-01  -         1.00e+00   OPT   0.00e+00  -         3.95e+05  -1.277e+00 4.04e+05  1.33e+01  6.50e+06  ✔ (h-type)    
 5      1      -         1.00e-01  -         1.00e+00   OPT   0.00e+00  -         3.94e+05  -1.281e+00 3.80e+05  1.36e+01  6.42e+06  ✔ (h-type)    
 6      1      -         1.00e-01  -         1.00e+00   OPT   0.00e+00  -         3.61e+05  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      2      -         -         -         5.00e-01   -     -         -         1.80e+05  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      3      -         -         -         2.50e-01   -     -         -         9.02e+04  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      4      -         -         -         1.25e-01   -     -         -         4.51e+04  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      5      -         -         -         6.25e-02   -     -         -         2.26e+04  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      6      -         -         -         3.12e-02   -     -         -         1.13e+04  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      7      -         -         -         1.56e-02   -     -         -         5.64e+03  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      8      -         -         -         7.81e-03   -     -         -         2.82e+03  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      9      -         -         -         3.91e-03   -     -         -         1.41e+03  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      10     -         -         -         1.95e-03   -     -         -         7.05e+02  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      11     -         -         -         9.77e-04   -     -         -         3.53e+02  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      12     -         -         -         4.88e-04   -     -         -         1.76e+02  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      13     -         -         -         2.44e-04   -     -         -         8.81e+01  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      14     -         -         -         1.22e-04   -     -         -         4.41e+01  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
