config_hash,rep,label,options_json,n_problems,n_solved,reliability,cum_cpu_time,n_rewritten,status_counts_json
fd9aad096a06,0,smoke-filtersqp,"{""preset"": ""filtersqp""}",121,117,0.966942,3.1296,0,"{""solved"": 117, ""unsolved"": 4}"
478ce0be3325,0,baseline-filtersqp,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",121,117,0.966942,4.1372,3,"{""solved"": 117, ""unsolved"": 4}"
bbe3df80208a,0,baseline-ipopt,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal_dual""}",121,111,0.917355,11.1148,3,"{""solved"": 111, ""unsolved"": 10}"
d1e249277dcd,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal""}",121,114,0.942149,29.0549,3,"{""solved"": 114, ""unsolved"": 7}"
c83f6fd4a768,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""none""}",121,34,0.280992,201.6483,3,"{""solved"": 34, ""unsolved"": 79, ""timeout"": 8}"
4aa64c954a5f,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",121,116,0.958678,2.8624,3,"{""solved"": 116, ""unsolved"": 5}"
8fc5dfcb12cd,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",121,117,0.966942,4.4361,3,"{""solved"": 117, ""unsolved"": 4}"
571713f07f83,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""LBFGS"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal""}",121,114,0.942149,11.0829,3,"{""solved"": 114, ""unsolved"": 7}"
9cc0076619ff,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal""}",121,114,0.942149,32.3147,3,"{""solved"": 114, ""unsolved"": 7}"
09291d6de8ff,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""LBFGS"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal""}",121,114,0.942149,5.8492,3,"{""solved"": 114, ""unsolved"": 7}"
8656a8c80249,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""LBFGS"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal""}",121,34,0.280992,193.6717,3,"{""solved"": 34, ""unsolved"": 80, ""timeout"": 7}"
e401706a7caa,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""LSR1"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal""}",121,7,0.057851,13.9502,3,"{""unsolved"": 114, ""solved"": 7}"
d269762ccd48,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""none""}",121,34,0.280992,283.3784,3,"{""solved"": 34, ""unsolved"": 76, ""timeout"": 11}"
